Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
1,37,1758245081.161333,1758245084.628,48,1758245082.232472,73,1758245083.594667,1.36,9.25,6.33,9.8,7.5,19.5,R 15.8,10.4,2890,27,R 2.6
1,38,1758245134.328,1758245137.661333,50,1758245135.482472,75,1758245136.828,1.35,38.35,28.29,21.6,15.4,16.2,R 0.5,0,2750,6,R 0.3
1,39,1758245148.128,1758245151.494667,50,1758245149.232472,75,1758245150.628,1.4,24.57,13.58,21.5,16.6,7.2,R 2.8,3.3,2172,128,R 1.8
1,40,1758245164.428,1758245167.828,52,1758245165.632472,78,1758245167.028,1.4,21.87,14.37,18,14.9,11.7,L 6.0,-7.6,2681,-96,L 2.5
1,41,1758245185.728,1758245189.061333,51,1758245186.932472,77,1758245188.294667,1.36,4.25,1.97,9.5,7.8,4.9,R 4.4,4.5,627,240,R 0.3
1,42,1758245200.428,1758245203.661333,48,1758245201.432472,73,1758245202.861333,1.43,35.44,27.72,19.8,14.7,21.8,R 6.6,5.7,2672,127,R 4.9
1,43,1758245368.328,1758245371.561333,47,1758245369.332472,71,1758245370.694667,1.36,14.54,10.07,12.6,11.6,15.4,R 7.1,6.4,2696,174,R 2.0
1,44,1758245379.628,1758245383.294667,56,1758245380.832472,85,1758245382.461333,1.63,-,-,-,-,-,-,-,-,-,-
1,45,1758245385.628,1758245389.261333,48,1758245386.682472,72,1758245388.028,1.35,33.04,27.72,22.1,15.5,14.5,R 6.1,5.2,3326,121,R 4.6
1,46,1758245416.328,1758245418.861333,33,1758245416.632472,50,1758245417.994667,1.36,13.19,6.14,13.9,9.7,7.8,R 33.2,23.7,1123,315,R 6.2
1,47,1758246077.431,1758246080.864333,26,1758246078.332472,39,1758246078.731,0.4,13.84,6.59,17.2,11.7,5.4,R 0.5,0.5,866,133,R 0.2
