Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
8,41,1758877270.90835,1758877273.776234,45,1758877270.813258,68,1758877273.175981,2.36,119.09,107.35,40.3,33,23.7,L 6.9,-6.7,5485,-253,L 21.1
8,42,1758877292.156045,1758877295.127321,47,1758877292.124373,70,1758877294.527035,2.4,140.2,136.02,46.3,34,21.4,L 12.2,-11.6,6507,-407,L 41.2
8,43,1758877314.33876,1758877317.074078,43,1758877314.135854,65,1758877316.507025,2.37,137.35,126.79,44.6,33.3,21.7,L 9.0,-8,6507,21,L 21.3
8,44,1758877341.659126,1758877344.459982,43,1758877341.4501,66,1758877343.859769,2.41,119.67,109.26,40.2,37.3,25.9,L 1.1,-0.4,4005,377,R 11.1
8,45,1758877379.685545,1758877382.454355,44,1758877379.519955,66,1758877381.887273,2.37,97.45,85.01,35.4,26,19.7,L 5.6,-4.7,4641,307,L 2.8
8,46,1758877407.738423,1758877410.773995,49,1758877407.834723,74,1758877410.206341,2.37,141.61,127.97,45.2,39.2,17.5,L 5.3,-5.7,4686,-148,L 16.9
8,47,1758877433.024039,1758877435.826052,44,1758877432.847769,67,1758877435.258989,2.41,131.99,112.24,47.5,32.3,7.7,R 12.2,11.9,3704,1207,R 41.7
8,48,1758877457.141404,1758877459.809994,43,1758877456.910319,65,1758877459.30963,2.4,129.37,119.42,43.1,33.4,26.9,L 2.8,-2,7470,275,R 5.1
8,49,1758877492.268886,1758877495.003298,43,1758877492.078662,66,1758877494.46978,2.39,161.82,131.67,47.5,36,27.8,L 1.1,-1.1,8206,91,R 2.4
8,50,1758877527.692105,1758877530.393961,43,1758877527.497135,65,1758877529.860251,2.36,120.98,109.49,60.9,33.3,20.6,L 1.3,-2.6,5565,186,R 5.8
8,51,1758877571.923958,1758877574.625913,42,1758877571.670174,63,1758877574.025508,2.36,134.69,124.49,67.5,38.4,32.5,R 1.7,1.9,9277,310,R 21.7
8,52,1758877599.443587,1758877602.145655,44,1758877599.334602,67,1758877601.678566,2.34,131.7,121.12,43.2,33.2,25,R 1.5,1.7,7114,275,R 15.1
8,53,1758877630.866337,1758877633.668317,43,1758877630.700962,65,1758877633.034553,2.33,103.41,92.66,36.4,32.9,22.9,R 1.4,1.7,5196,371,R 12.1
9,1,1761643286.295067,1761643289.397353,-,-,67,1761643288.530037,-,85.1,72.87,32.4,26.6,20.1,R 0.5,0.1,4122,29,R 1.9
9,2,1761643299.005474,1761643302.040106,-,-,67,1761643301.239762,-,110.46,98.13,38.3,33.6,20.1,L 0.1,0,4782,137,R 3.6
9,3,1761643313.615005,1761643316.516979,-,-,68,1761643315.883218,-,91.4,79.14,33.6,30,21,R 2.1,2,4266,210,R 7.6
9,4,1761643329.326337,1761643332.26174,-,-,66,1761643331.527664,-,121.99,111.39,41.3,31.3,23.6,R 1.3,0.4,6473,-144,L 0.9
9,5,1761643402.812828,1761643405.714599,-,-,67,1761643405.047541,-,95.44,71.54,41.3,33.6,6.8,R 3.8,2.5,3235,-409,R 1.6
9,6,1761643414.421213,1761643417.422882,-,-,68,1761643416.689151,-,-,-,-,-,-,-,-,-,-,-
9,7,1761643447.810809,1761643450.746844,-,-,65,1761643449.978967,-,126.48,115.39,42.2,30.3,21.9,R 1.6,1.5,6226,142,R 8.9
9,8,1761643470.527797,1761643474.097072,-,-,65,1761643472.696062,-,139.5,128.68,45.4,35.6,21.9,L 2.2,-2.3,6614,-118,L 9.8
9,9,1761643485.438543,1761643488.407385,-,-,68,1761643487.706874,-,133.49,122.54,43.7,39.3,22.4,R 0.0,0.2,6554,210,R 8.6
9,10,1761643501.750259,1761643504.984262,-,-,64,1761643503.884043,-,132.84,121.67,43.1,39.5,24.7,R 5.6,5.3,6993,496,R 32.9
9,11,1761643518.595916,1761643521.998274,-,-,65,1761643520.763973,-,131.17,120.26,42.9,31.2,23.4,R 3.0,3.1,6658,456,R 24.6
9,12,1761643534.308722,1761643538.012614,-,-,66,1761643536.512573,-,134.17,124.02,44.1,40.7,25.6,R 3.7,3.3,7356,132,R 15.1
9,13,1761643549.983962,1761643553.388413,-,-,67,1761643552.22107,-,132.19,121.33,43.3,32.2,22.9,R 3.2,3,6603,227,R 16.7
9,14,1761643596.151603,1761643599.820929,43,1761643598.536117,65,1761643598.319842,-0.22,122.59,110.7,41.2,30.2,19.3,L 1.6,-1.4,5196,139,R 1.2
9,15,1761643612.429998,1761643615.498856,41,1761643614.723586,62,1761643614.498159,-0.23,127.5,116.99,42.3,39.7,27.6,R 8.9,8.5,7511,461,R 39.0
9,16,1761643628.441836,1761643632.578768,46,1761643630.911055,69,1761643630.744958,-0.17,125.62,115.9,41.9,33.4,28.2,R 10.2,9.7,7560,495,R 42.5
9,17,1761643647.322296,1761643651.457227,42,1761643649.696513,64,1761643649.456453,-0.24,135.29,124.59,44.5,39.9,21.7,R 0.6,0.3,6493,44,R 4.6
9,18,1761643663.668726,1761643667.337546,44,1761643666.083827,67,1761643665.903446,-0.18,124.96,114.13,41.3,36,24.6,R 5.4,5,6691,354,R 25.1
9,19,1761643679.579227,1761643685.148738,43,1761643681.921567,65,1761643681.747182,-0.17,130.46,119.74,42.9,32.4,23.5,R 3.3,3.1,6694,192,R 15.5
9,20,1761643697.992735,1761643702.827835,44,1761643700.407257,66,1761643700.193534,-0.21,128.81,118.07,42.9,33.3,21.4,R 2.1,1.6,6205,36,R 7.8
9,21,1761643717.206536,1761643721.907854,44,1761643719.642367,67,1761643719.440459,-0.2,140.57,129.88,45.8,41.4,22.9,R 0.7,0,6870,-141,L 3.0
9,22,1761643735.185138,1761643740.257589,44,1761643737.628444,67,1761643737.420049,-0.21,125.89,115.46,42.2,37.1,22.4,R 0.2,0.2,6331,125,R 5.3
9,23,1761643751.331052,1761643754.766418,46,1761643753.815913,69,1761643753.632739,-0.18,120.21,109.54,40,30.5,25.8,R 7.0,6.5,6749,430,R 30.0
9,24,1761643797.263169,1761643801.833139,43,1761643799.680408,65,1761643799.43137,-0.25,135,124.49,44.4,37.3,21.9,L 0.6,-1.2,6537,-139,L 5.7
9,25,1761643814.976507,1761643818.211936,46,1761643817.516601,69,1761643817.277977,-0.24,140.8,129.76,45.3,32.8,22.9,R 7.0,6.2,6852,223,R 27.3
9,26,1761643832.189507,1761643836.592203,45,1761643834.653336,68,1761643834.457294,-0.2,119.04,108.11,40.3,34.8,21.5,R 2.4,1.9,5783,22,R 7.6
9,27,1761643851.702144,1761643856.306021,44,1761643854.138252,66,1761643853.904612,-0.23,132.22,121.71,43.4,39.7,24.2,R 4.8,4.2,6923,110,R 16.6
9,28,1761643872.117037,1761643875.986827,44,1761643874.572434,67,1761643874.352045,-0.22,110.61,97.89,38.4,30.2,19.3,R 0.5,0.4,4751,127,R 4.5
9,29,1761643907.30907,1761643911.178692,44,1761643909.695245,66,1761643909.510635,-0.18,140.6,129.59,45.5,40.2,23.8,R 3.1,2.4,7094,9,R 9.6
9,30,1761643924.955141,1761643929.124904,47,1761643927.531438,71,1761643927.322985,-0.21,113.95,102.28,39.1,31.6,20.6,L4.6,-3.9,5154,215,L 2.8
9,31,1761643941.469848,1761643946.638908,46,1761643943.968713,70,1761643943.803237,-0.17,134.22,123.23,44.2,39.4,21.1,R 1.6,1.1,6295,14,R 6.5
9,32,1761643960.580703,1761643963.649619,45,1761643963.053939,68,1761643962.849005,-0.2,140.32,129.52,45.5,39.5,24,R 2.2,1.8,7132,82,R 10.4
9,33,1761643979.528292,1761643982.697042,44,1761643981.93932,66,1761643981.729735,-0.21,129.37,118.26,43.1,31.7,20,L 1.3,-1.7,5802,-161,L 7.0
9,34,1761644079.766596,1761644084.169784,44,1761644082.161736,66,1761644081.96815,-0.19,138.8,127.98,45.1,33.7,21.7,R 1.8,1.3,6551,-5,R 5.1
9,35,1761644098.550043,1761644102.617393,44,1761644100.997156,67,1761644100.783751,-0.21,122.43,111.2,41.3,30.5,20.6,L 1.7,-1.5,5647,136,R 0.9
9,36,1761644116.626496,1761644121.296516,42,1761644118.933271,63,1761644118.728044,-0.21,136.67,125.39,44.8,35.4,18.9,L 2.5,-2.7,5499,-214,L 11.3
9,37,1761644136.474773,1761644140.979647,44,1761644138.86784,67,1761644138.709224,-0.16,128.79,115.89,42.4,37,18.3,R 0.9,0.9,4744,145,R 7.1
9,38,1761644152.418626,1761644156.687558,46,1761644154.955386,69,1761644154.719512,-0.24,124.57,113.89,41.8,35.2,21.6,R 0.7,1.2,6090,405,R 15.6
9,39,1761644169.230966,1761644172.800203,45,1761644171.69243,68,1761644171.499293,-0.19,121.7,110.86,40.9,30.2,22,R 4.9,4.6,6062,399,R 23.6
9,40,1761644185.244875,1761644189.379988,45,1761644187.680054,68,1761644187.512952,-0.17,132.94,121.82,43.3,36.9,22.7,R 2.9,3.1,6568,483,R 25.5
9,41,1761644202.057223,1761644207.527769,46,1761644204.616942,70,1761644204.391908,-0.23,129.58,119.26,43.3,39,22.3,L 0.1,-0.7,6473,-100,L 3.7
9,42,1761644220.305848,1761644224.576209,46,1761644222.802864,69,1761644222.607119,-0.2,134.11,122.74,44,33,19.5,L 2.3,-2.2,5994,23,L 3.5
9,43,1761644236.11862,1761644240.520986,46,1761644238.590643,69,1761644238.419357,-0.17,128.05,117.7,42.6,33.2,24.4,R 2.1,1.5,6848,-49,R 2.7
9,44,1761644375.398642,1761644379.969048,43,1761644377.732931,65,1761644377.567115,-0.17,130.51,119.4,43.2,33.6,19.7,R 0.0,-0.1,5997,63,R 3.3
9,45,1761644391.812346,1761644397.049889,44,1761644394.170207,66,1761644394.01415,-0.16,128.59,115.62,42.4,36.9,18.1,L 2.9,-2.5,4701,135,L 1.6
9,46,1761644407.627456,1761644410.696269,44,1761644410.007947,66,1761644409.862503,-0.15,147.47,131.12,46.2,34.2,16.1,L6.4,-6.2,4420,-609,L 29.8
9,47,1761644426.308512,1761644430.143762,43,1761644428.643521,65,1761644428.476226,-0.17,130.74,120.05,42.8,31,22.9,R 7.2,6.5,6527,287,R 27.6
9,48,1761644441.788685,1761644445.657223,44,1761644444.181493,67,1761644444.023134,-0.16,127.67,117.02,42.2,27.8,23.7,R 5.1,4.1,6632,6,R 13.6
9,49,1761644457.969055,1761644463.773767,44,1761644460.418923,67,1761644460.203556,-0.22,135.71,124.75,44.7,39.5,19.9,L 0.9,-0.8,6418,122,R 2.9
9,50,1761644473.948069,1761644478.553517,44,1761644476.356586,67,1761644476.18225,-0.17,141.31,130.65,45.8,41.8,24.3,R 2.8,2.4,7217,138,R 13.7
9,51,1761644491.159978,1761644496.899497,46,1761644493.643203,69,1761644493.46116,-0.18,136.61,124.03,44.5,35.7,18.1,L 2.1,-2.2,4795,-114,L 8.5
9,52,1761644507.240615,1761644510.509754,44,1761644509.580866,66,1761644509.442271,-0.14,140.04,124.66,44.8,32.1,16,L 6.2,-5.8,4385,-400,L 23.3
9,53,1761644522.420586,1761644527.491504,45,1761644524.869031,68,1761644524.690013,-0.18,140.76,130.07,45.7,41.1,22,L 2.9,-2.9,6643,-78,L 11.2
10,1,1758762123.524309,1758762126.359536,43,1758762124.728653,65,1758762125.692426,0.96,159.87,144.92,49.6,47,14.7,L 0.9,-1.4,4282,-331,L 12.2
10,2,1758762156.34748,1758762159.282965,44,1758762157.602414,67,1758762158.582527,0.98,-,-,-,-,-,-,-,-,-,-
10,3,1758762184.968484,1758762187.903802,43,1758762186.223101,66,1758762187.169973,0.95,-,-,-,-,-,-,-,-,-,-
10,4,1758762212.087904,1758762215.123186,45,1758762213.392739,68,1758762214.356045,0.96,-,-,-,-,-,-,-,-,-,-
10,5,1758762241.542311,1758762244.411155,42,1758762242.713933,64,1758762243.677283,0.96,-,-,-,-,-,-,-,-,-,-
10,6,1758762277.5363,1758762280.504543,45,1758762278.840044,67,1758762279.80425,0.96,-,-,-,-,-,-,-,-,-,-
10,7,1758762320.665943,1758762323.601407,42,1758762321.871147,64,1758762322.800804,0.93,-,-,-,-,-,-,-,-,-,-
10,8,1758762359.094029,1758762362.028795,41,1758762360.148813,63,1758762361.195066,1.05,-,-,-,-,-,-,-,-,-,-
10,9,1758762394.519633,1758762397.454499,-,-,65,1758762396.687434,-,-,-,-,-,-,-,-,-,-,-
10,10,1758762424.741605,1758762427.643443,-,-,64,1758762426.875919,-,-,-,-,-,-,-,-,-,-,-
10,11,1758762459.365893,1758762462.234435,-,-,65,1758762461.533969,-,-,-,-,-,-,-,-,-,-,-
10,12,1758762619.079824,1758762621.882161,-,-,65,1758762621.248453,-,165.59,151.94,50.5,35.9,16,L 3.3,-3.1,4435,-40,L 13.3
10,13,1758762651.104982,1758762654.006257,-,-,68,1758762653.372633,-,152,138.62,47.9,37,17.2,L 0.5,-1,4629,-323,L 10.4
10,14,1758762678.624803,1758762681.491651,-,-,66,1758762680.824917,-,152.49,137.78,47.8,33.3,15.6,L 1.0,-1.4,4361,-286,L 10.5
10,15,1758762707.744665,1758762710.612954,-,-,64,1758762709.879222,-,156.06,144.94,49.9,38.6,23.7,R 0.6,0.3,6304,26,R 5.0
10,16,1758762737.165717,1758762739.96731,-,-,64,1758762739.30019,-,159.21,147.21,49.6,36.7,18.2,L 0.6,-0.2,5096,410,R 19.1
10,17,1758762768.487478,1758762771.322253,-,-,65,1758762770.655065,-,143.65,122.57,44.5,34.5,21.2,R 2.1,1.5,6459,3,R 6.3
10,18,1758762823.727824,1758762826.629732,-,-,65,1758762825.895924,-,123.23,96.22,47.5,36.2,5.9,L 3.4,-3.4,3129,-343,L 11.9
10,19,1758762857.951243,1758762860.721242,-,-,63,1758762860.05408,-,143.67,131.9,44.2,34.4,21.3,R 2.3,2.3,6492,255,R 21.6
10,20,1758762886.574241,1758762889.408508,-,-,64,1758762888.708259,-,144.78,125.53,47.4,38.9,11,L 1.8,-2.4,4056,-423,L 13.9
10,21,1758762914.69282,1758762917.494239,-,-,64,1758762916.827225,-,150.37,133.76,48.1,35.3,18.5,L 0.1,-0.9,5383,-381,L 9.1
10,22,1758763010.795773,1758763013.631135,-,-,63,1758763012.897281,-,169.93,154.96,51.6,26.5,14.8,L 2.6,-2.7,4293,-23,L 16.8
10,23,1758763045.586558,1758763048.289435,-,-,61,1758763047.622319,-,155,146.21,49.5,44.2,21.9,L 0.5,-0.4,6496,141,R 7.2
10,24,1758763080.71405,1758763083.515054,-,-,63,1758763082.814802,-,146.79,131.4,46.4,33.1,15.5,L 2.4,-3.1,6345,-457,L 17.2
10,25,1758763113.937234,1758763116.772272,-,-,65,1758763116.105155,-,151.72,138.26,47.7,33.2,16.5,L 2.0,-2,4503,-113,L 9.1
10,26,1758763143.758085,1758763146.726814,-,-,68,1758763146.026341,-,143.3,131.66,46,37.4,18.5,R 1.0,0.8,5192,112,R 7.7
10,27,1758763181.385761,1758763184.320093,-,-,67,1758763183.61931,-,154.26,163.03,49.1,36.3,20.5,L 0.1,0.3,6357,392,R 19.5
10,28,1758763206.904195,1758763209.705886,-,-,65,1758763209.072157,-,141.94,131.05,45,34.1,21.4,R 4.0,3.4,6501,82,R 14.9
10,29,1758763235.824027,1758763238.859004,-,-,69,1758763238.124625,-,147.17,135.23,47.5,37.8,19.5,L 1.3,-1,6229,130,R 2.9
10,30,1758763270.015404,1758763273.151011,-,-,71,1758763272.383798,-,157.67,144.01,40.9,37.4,17.2,L 0.2,-0.2,4632,151,R 6.8
11,1,1758512465.102,1758512468.535333,42,1758512466.357818,62,1758512467.202,0.84,76.45,64.7,29.9,22.3,22.2,L 2.1,-1.9,4104,102,L 1.2
11,2,1758512484.635333,1758512488.068667,48,1758512486.196378,72,1758512487.035333,0.84,-,-,-,-,-,-,-,-,-,-
11,3,1758512494.902,1758512498.235333,46,1758512496.390499,70,1758512497.235333,0.84,72.97,62.78,23.8,22.1,25.1,L 2.4,-2.2,4216,125,L 1.7
11,4,1758512592.868667,1758512596.035333,44,1758512594.284048,67,1758512595.102,0.82,76.13,65.13,29.7,23,23.5,L 1.0,-0.9,4172,139,R 0.7
11,5,1758512653.902,1758512656.935333,41,1758512655.148949,62,1758512655.968667,0.82,75.17,66.42,29.4,27.7,28.2,L 4.3,-3.5,4508,185,L 3.2
11,6,1758512673.235333,1758512676.135333,39,1758512674.337884,59,1758512675.202,0.86,91.32,81.11,33.6,25.4,24.5,L 2.5,-2.5,4872,-21,L 5.9
11,7,1758512692.468667,1758512694.835333,30,1758512693.127049,46,1758512694.002,0.87,84.78,75.69,31.8,25.2,29.3,L 0.6,-0.3,5937,220,R 3.7
11,8,1758512809.902,1758512812.702,36,1758512810.859157,55,1758512811.735333,0.88,83.09,69.96,33.5,23.5,25.8,L 1.3,-1.4,4372,50,L 0.7
11,9,1758512828.068667,1758512831.202,46,1758512829.498409,70,1758512830.402,0.9,83.31,73.89,31.5,24.4,26.8,L 0.7,-0.4,4312,194,R 2.4
11,10,1758512846.468667,1758512849.335333,42,1758512847.68792,64,1758512848.602,0.91,80.81,69.8,33.8,24,24.4,L 2.8,-1.2,4257,-132,L 4.1
11,11,1758512864.335333,1758512867.735333,48,1758512865.927402,73,1758512866.768667,0.84,71.03,60.04,28.4,24.6,22.8,R 1.5,1.1,4264,87,R 1.4
11,12,1758512882.702,1758512885.802,44,1758512884.01697,67,1758512884.935333,0.92,78.27,68.57,30.1,23.2,26.2,L 2.1,-1.9,4350,93,L 1.3
11,13,1758512899.968667,1758512903.468667,53,1758512901.75674,80,1758512902.635333,0.88,79.07,73.4,33.3,24.3,31.5,R 2.0,2.1,5610,279,R 0.7
11,14,1758512918.768667,1758512922.035333,48,1758512920.346021,73,1758512921.202,0.86,89.81,80.54,33,26,28.9,L 0.8,-0.6,5813,151,R 2.1
11,15,1758512937.502,1758512941.235333,57,1758512939.484984,86,1758512940.368667,0.88,77.2,66.32,29.8,22.7,24.4,L 2.4,-1.9,4220,175,L 0.7
11,16,1758513097.535333,1758513100.835333,46,1758513098.943031,70,1758513099.868667,0.93,89.37,76.79,33.1,24.4,21.1,L 4.7,-4.7,4227,-196,L 9.9
11,17,1758513115.702,1758513119.302,53,1758513117.432369,80,1758513118.368667,0.94,80.15,76.39,33.6,24.4,23,L 4.5,-4.3,4363,-137,L 9.3
11,18,1758513134.535333,1758513137.902,46,1758513135.971678,70,1758513136.868667,0.9,79.92,70.7,30.6,26.9,27,L 1.0,-0.8,4594,130,R 0.9
11,19,1758513153.102,1758513156.368667,45,1758513154.411044,68,1758513155.368667,0.96,76.6,65.79,29.7,22.6,26.2,L 4.0,-2.6,4213,99,L 4.1
11,20,1758513172.068667,1758513175.302,46,1758513173.500037,70,1758513174.402,0.9,79.57,69.7,33.3,23.5,26.8,L 0.8,-0.5,4430,161,R 1.6
11,21,1758513190.602,1758513194.068667,46,1758513192.039346,70,1758513192.935333,0.9,80.42,70.52,33.6,23.6,26,L 3.0,-2.7,4391,107,L 2.6
11,22,1758513208.368667,1758513211.968667,49,1758513209.92903,74,1758513210.835333,0.91,83.67,72.1,31.5,23.7,22.9,L 4.8,-4.5,4256,-13,L 8.2
11,23,1758513252.535333,1758513255.935333,48,1758513254.053584,73,1758513254.968667,0.92,76.06,66.53,29.5,22.9,26.8,R 0.5,0.7,4351,229,R 4.5
11,24,1758513270.768667,1758513274.202,48,1758513272.293067,73,1758513273.202,0.91,76.01,47.51,29.7,23.2,22,L 3.9,-3.2,4523,162,L 3.1
11,25,1758513430.402,1758513433.168667,35,1758513431.20143,53,1758513432.168667,0.97,94.11,82.76,34.1,25.7,23.1,L 5.1,-4.8,4426,-123,L 11.1
11,26,1758513485.235333,1758513487.535333,27,1758513485.520107,41,1758513486.602,1.08,87.99,77.74,32.6,29.1,25.5,L 1.4,-1.2,4537,144,R 0.7
11,27,1758513521.035333,1758513524.868667,58,1758513522.998494,87,1758513523.935333,0.94,89.18,79.6,32.9,23.4,26.2,L 2.2,-2,5192,117,L 1.1
11,28,1758513540.002,1758513543.068667,48,1758513541.437861,73,1758513542.435333,1,92,82.96,33,26,25.8,L 0.1,-0.1,5272,125,R 2.0
11,29,1758513559.035333,1758513561.602,41,1758513560.127084,62,1758513561.102,0.97,76.62,64.82,33.4,22.5,20.5,L 1.2,-1.2,4020,115,0.0
11,30,1758513596.768667,1758513599.468667,34,1758513597.555501,52,1758513598.502,0.95,74.15,60.99,33.4,26.4,17.7,L 9.1,-6.5,4177,-175,L 8.1
11,31,1758513613.902,1758513616.702,38,1758513614.84553,58,1758513615.835333,0.99,79.77,70.92,33.6,24,28.3,R 0.5,0.6,4593,281,R 4.5
11,32,1758513631.268667,1758513634.902,54,1758513633.035041,82,1758513634.002,0.97,83.59,69.81,33.9,23.4,23.4,L 3.0,-2.6,4250,133,L 2.2
11,33,1758513650.168667,1758513653.102,38,1758513651.124609,58,1758513652.102,0.98,87.72,77.23,32.4,24.9,25.6,L 1.9,-1.6,4767,109,L 0.5
11,34,1758513779.402,1758513782.802,49,1758513780.899773,74,1758513781.868667,0.97,78.04,66.15,33.4,27.3,22,L 2.2,-1.2,4123,-100,L 4.7
11,35,1758513797.702,1758513801.235333,50,1758513799.239197,76,1758513800.235333,1,84.96,75.07,31,25.1,29.1,L 0.5,-0.3,5496,144,R 2.3
11,36,1758513816.402,1758513819.668667,46,1758513817.728535,70,1758513818.735333,1.01,82.44,73.93,31.3,24,29.3,L 1.5,-1.3,5244,123,R 0.2
11,37,1758513834.835333,1758513837.735333,40,1758513835.918046,61,1758513836.868667,0.95,83.66,76.9,32.9,24.6,22.1,L 2.6,-3.5,4296,-52,L 7.5
11,38,1758513853.302,1758513856.302,40,1758513854.357413,60,1758513855.302,0.94,83,77.73,33.6,29,25.4,R 0.0,0.1,4011,174,R 3.6
11,39,1758513872.368667,1758513875.235333,36,1758513873.196549,55,1758513874.202,1.01,81.5,71.73,33.9,23.9,26.6,R 0.2,0.5,4570,180,R 1.9
11,40,1758513889.402,1758513892.868667,49,1758513890.886348,74,1758513891.868667,0.98,86.16,76.42,33.2,24.9,26.2,L 2.2,-2,4004,106,L 1.3
11,41,1758513926.735333,1758513930.068667,47,1758513928.164851,71,1758513929.102,0.94,75.16,66.07,29.2,22.9,28,R 1.7,2,4400,332,R 8.0
12,1,1758693665.294,1758693670.427333,66,1758693668.134905,101,1758693668.660667,0.53,133.53,122.24,44,38.6,19.8,R 4.1,3.6,4220,156,R 15.7
12,2,1758693679.460667,1758693684.127333,59,1758693682.038793,89,1758693682.460667,0.42,142.7,131.76,44.5,39.6,19.8,R 2.5,1.9,6420,-39,R 4.2
12,3,1758693728.194,1758693733.760667,80,1758693731.810683,122,1758693732.260667,0.45,136.95,125.4,44.8,39.1,19.2,R 1.1,0.7,5826,-54,R 0.2
12,4,1758693746.860667,1758693751.794,77,1758693750.248448,117,1758693750.760667,0.51,123.46,127.3,45.5,33.5,23.1,R 0.6,-0.1,6162,-152,L 3.1
12,5,1758693800.960667,1758693806.427333,82,1758693804.604591,123,1758693805.094,0.49,136.89,125.72,45.2,33.2,19.6,L 0.6,-1.3,6253,-245,L 7.6
12,6,1758693819.627333,1758693824.160667,50,1758693821.73257,77,1758693822.194,0.46,123,112.86,41.7,31,23.9,R 3.3,2.5,5077,-149,R 3.6
12,8,1758693913.194,1758693916.094,24,1758693913.97177,37,1758693914.427333,0.46,130.44,119.21,43,37.6,21.9,R 7.6,6.7,6230,146,R 23.1
12,9,1758694021.527333,1758694025.927333,55,1758694023.792337,84,1758694024.327333,0.53,12857,125.23,44.9,33.7,16.9,L 0.6,-0.9,4546,-199,L 6.3
12,10,1758694077.194,1758694081.794,62,1758694079.810901,94,1758694080.327333,0.52,129.59,119.32,43.3,38.7,21.7,R 0.1,-0.2,6381,-1,R 0.2
12,11,1758694094.560667,1758694099.027333,59,1758694097.090009,90,1758694097.560667,0.47,131.52,119.15,43,31.4,18.7,R 0.7,7.6,5035,127,R 24.4
12,12,1758694112.860667,1758694117.294,68,1758694115.779656,103,1758694116.294,0.51,129.97,116.49,42.8,37.1,17.7,L 2.0,-2.3,4426,-92,L 7.5
12,13,1758694130.727333,1758694135.094,46,1758694132.555,70,1758694133.060667,0.51,129.76,115.79,43,31.9,21,R 6.0,5,4107,57,R 17.6
12,14,1758694200.894,1758694206.260667,70,1758694203.938368,107,1758694204.460667,0.52,133.3,120.72,43.8,38.2,18.4,L 0.7,-1.1,4020,-190,L 6.4
12,15,1758694340.194,1758694344.027333,47,1758694342.070476,72,1758694342.594,0.52,125.19,114.45,42.5,31.3,19.9,R 5.9,4.7,4025,-279,R 6.8
12,16,1758694356.560667,1758694360.327333,50,1758694358.593937,76,1758694359.094,0.5,124.43,116,42,31.1,20.5,R 2.4,1.7,5790,-94,R 2.5
12,17,1758694392.760667,1758694397.260667,56,1758694395.116832,86,1758694395.627333,0.51,136.93,125.42,44.2,40,22.8,R 4.9,4.6,6720,326,R 25.5
12,18,1758694411.360667,1758694415.127333,49,1758694413.403467,75,1758694413.860667,0.46,131.94,121.2,43,30,23.2,R 1.0,0.6,6017,3,R 2.9
12,19,1758694462.627333,1758694467.260667,58,1758694465.089661,88,1758694465.560667,0.47,126.96,115.77,42.7,31.3,19.3,R 1.3,0.6,5303,-150,L 1.0
12,20,1758694513.860667,1758694519.160667,62,1758694516.523973,94,1758694516.994,0.47,101.73,77.71,41.1,27.9,7.8,L 7.0,-7.4,3494,-580,L 17.2
12,21,1758694548.560667,1758694553.527333,54,1758694550.880682,83,1758694551.327333,0.45,136.33,126.07,44.7,32.8,19.6,L 3.3,-3.7,5926,-299,L 15.2
12,22,1758694568.460667,1758694572.660667,52,1758694570.577857,79,1758694571.127333,0.55,137.19,125.76,44.9,39.3,18,L 1.7,-2.1,5416,-215,L 9.5
12,23,1758694637.794,1758694642.360667,58,1758694640.298804,89,1758694640.760667,0.46,136.79,125.8,44,31,21.9,R 1.5,0.5,4570,-103,L 1.5
13,1,1758685077.2,1758685081,46,1758685078.405032,70,1758685079.533333,1.13,102.48,93.47,36.4,28.6,28.4,R 2.3,1.6,6535,-30,R 2.9
13,2,1758685108.566667,1758685112.7,39,1758685109.580876,59,1758685110.533333,0.95,107.05,97.41,37.4,29,25.8,L 1.5,-1.8,4297,-43,L 5.4
13,3,1758685138.666667,1758685143.333333,56,1758685140.557194,85,1758685141.5,0.94,102.42,90.56,37.7,29.4,27.4,L 1.2,-1.5,6402,-157,L 10.2
13,4,1758685153.666667,1758685158.8,66,1758685156.070295,100,1758685157,0.93,92.67,82.62,24,28.1,23.3,R 1.0,0.2,4453,10,R 3.1
13,5,1758685295.2,1758685299.066667,52,1758685296.835465,78,1758685297.8,0.96,93.4,84.35,34,27.1,33.6,R 2.8,2.7,4305,246,R 11.5
13,6,1758685387.6,1758685391.933333,51,1758685389.265607,77,1758685390.166667,0.9,100.91,89.57,36,33.6,22.6,L 2.0,-2.8,4992,-105,L 6.6
13,7,1758685448,1758685453.366667,63,1758685450.220617,95,1758685451.166667,0.95,110.09,101.3,33.5,29.4,25.5,R 0.9,0.5,6329,0,R 2.2
13,8,1758685514,1758685517.8,35,1758685514.816965,53,1758685515.766667,0.95,97.71,86.17,35,26.3,22.3,R 1.8,1.5,4642,92,R 5.7
13,9,1758685545.3,1758685549.033333,35,1758685546.142453,53,1758685547.066667,0.92,87.92,77.26,32.49,27.9,24.7,R 6.2,5.2,4572,95,R 12.5
13,10,1758685559.533333,1758685563.833333,44,1758685560.80757,66,1758685561.733333,0.93,106.55,97.25,37.7,33.4,32,R 5.8,5.2,7564,259,R 21.2
